,Accuracy,Precision,Recall,F1 Score,ROC AUC,CV ROC AUC Mean
Logistic Regression,0.7749510763209393,0.32967032967032966,0.7894736842105263,0.46511627906976744,0.8488537053728886,0.8534904930835147
Random Forest,0.8662752772341813,0.4603174603174603,0.45789473684210524,0.45910290237467016,0.8566093192773445,0.9808647947594922
Gradient Boosting,0.8486627527723418,0.4166666666666667,0.5526315789473685,0.4751131221719457,0.8582062938433201,0.9544562695712784
AdaBoost,0.8049575994781474,0.36476426799007444,0.7736842105263158,0.4957841483979764,0.8608594270486343,0.8891038045004838
XGBoost,0.8643183300717547,0.4521276595744681,0.4473684210526316,0.4497354497354497,0.8387427989183681,0.9734315234994051
Voting Ensemble,0.8545335942596216,0.43820224719101125,0.6157894736842106,0.5120350109409191,0.8626523494141161,0.9634979834864359
Stacking Ensemble,0.8721461187214612,0.47413793103448276,0.2894736842105263,0.35947712418300654,0.7920876278559391,0.9858523280935192
